"X.query","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","codigo_genoma"
"20485815","1314.HKU360_00002",7.77e-260,713,"COG0592@1|root,COG0592@2|Bacteria,1TQ7J@1239|Firmicutes,4H9TF@91061|Bacilli","91061|Bacilli","L","Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria","dnaN","-","2.7.7.7","ko:K02338","ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440","M00260","R00375,R00376,R00377,R00378","RC02795","ko00000,ko00001,ko00002,ko01000,ko03032,ko03400","-","-","-","DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3","GCF_000006785.2"
"20485816","1314.HKU360_00001",0,889,"COG0593@1|root,COG0593@2|Bacteria,1TPV7@1239|Firmicutes,4H9MW@91061|Bacilli","91061|Bacilli","L","it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids","dnaA","GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837","-","ko:K02313","ko02020,ko04112,map02020,map04112","-","-","-","ko00000,ko00001,ko03032,ko03036","-","-","-","Bac_DnaA,Bac_DnaA_C,DnaA_N","GCF_000006785.2"
"20485817","1314.HKU360_00004",1.02e-256,705,"COG0012@1|root,COG0012@2|Bacteria,1TPRK@1239|Firmicutes,4H9SQ@91061|Bacilli","91061|Bacilli","J","ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner","ychF","GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0044424,GO:0044464","-","ko:K06942","-","-","-","-","ko00000,ko03009","-","-","-","MMR_HSR1,YchF-GTPase_C","GCF_000006785.2"
"20485818","1314.HKU360_00005",1.8e-134,380,"COG0193@1|root,COG0193@2|Bacteria,1V3NB@1239|Firmicutes,4HH2Z@91061|Bacilli","91061|Bacilli","J","The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis","pth","GO:0003674,GO:0003824,GO:0004045,GO:0016787,GO:0016788,GO:0052689,GO:0140098,GO:0140101","3.1.1.29","ko:K01056","-","-","-","-","ko00000,ko01000,ko03012","-","-","-","Pept_tRNA_hydro","GCF_000006785.2"
"20485819","1314.HKU360_00050",1.42e-219,607,"COG0462@1|root,COG0462@2|Bacteria,1TQ6Q@1239|Firmicutes,4HB61@91061|Bacilli","91061|Bacilli","F","Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)","prs","-","2.7.6.1","ko:K00948","ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230","M00005","R01049","RC00002,RC00078","ko00000,ko00001,ko00002,ko01000","-","-","-","Pribosyl_synth,Pribosyltran_N","GCF_000006785.2"
"20485820","1314.HKU360_00013",0,1225,"COG0465@1|root,COG0465@2|Bacteria,1TPTV@1239|Firmicutes,4HAJB@91061|Bacilli","91061|Bacilli","O","Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins","ftsH","GO:0003674,GO:0003824,GO:0004176,GO:0005575,GO:0005623,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009056,GO:0009057,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019538,GO:0030163,GO:0030428,GO:0032502,GO:0042623,GO:0043170,GO:0043934,GO:0044238,GO:0044464,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575","-","ko:K03798","-","M00742","-","-","ko00000,ko00002,ko01000,ko01002,ko03110","-","-","-","AAA,FtsH_ext,Peptidase_M41","GCF_000006785.2"
"20485821","1314.HKU360_00014",0,917,"COG0531@1|root,COG0531@2|Bacteria,1TQ4K@1239|Firmicutes,4HA66@91061|Bacilli","91061|Bacilli","E","amino acid","yfnA","-","-","ko:K03294","-","-","-","-","ko00000","2.A.3.2","-","-","AA_permease_2","GCF_000006785.2"
"20485822","1314.HKU360_00051",2.4e-181,504,"COG1381@1|root,COG1381@2|Bacteria,1UZ19@1239|Firmicutes,4HAHI@91061|Bacilli","91061|Bacilli","L","Involved in DNA repair and RecF pathway recombination","recO","GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360","-","ko:K03584","ko03440,map03440","-","-","-","ko00000,ko00001,ko03400","-","-","-","RecO_C,RecO_N","GCF_000006785.2"
"20485823","1314.HKU360_00052",1.68e-230,635,"COG0416@1|root,COG0416@2|Bacteria,1TPXS@1239|Firmicutes,4HA0R@91061|Bacilli","91061|Bacilli","I","Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA","plsX","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464","2.3.1.15","ko:K03621","ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110","M00089","R00851,R09380","RC00004,RC00039,RC00041","ko00000,ko00001,ko00002,ko01000,ko01004","-","-","-","FA_synthesis","GCF_000006785.2"
"20485824","1314.HKU360_00053",1.79e-46,149,"COG0236@1|root,COG0236@2|Bacteria","2|Bacteria","IQ","Carrier of the growing fatty acid chain in fatty acid biosynthesis","acpP_1","-","-","ko:K02078","-","-","-","-","ko00000,ko00001","-","-","-","PP-binding","GCF_000006785.2"
