"X.query","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","codigo_genoma"
"20501733","1410653.JHVC01000006_gene63",0,1033,"COG0542@1|root,COG0542@2|Bacteria,1TPMU@1239|Firmicutes,2486F@186801|Clostridia,36F8B@31979|Clostridiaceae","186801|Clostridia","O","Negative regulator of genetic competence clpC mecB","-","-","-","ko:K03697","-","-","-","-","ko00000,ko03110","-","-","-","AAA,AAA_2,ClpB_D2-small","GCF_000007625.1"
"20501734","1410653.JHVC01000044_gene2130",1.82e-29,105,"2A603@1|root,30USB@2|Bacteria,1UQIA@1239|Firmicutes,24U2G@186801|Clostridia,36NVZ@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501735","1410653.JHVC01000049_gene2205",5.98e-61,195,"2E3G5@1|root,32YEZ@2|Bacteria,1VHG4@1239|Firmicutes,24IPA@186801|Clostridia,36ISJ@31979|Clostridiaceae","186801|Clostridia","S","Protein of unknown function (DUF4230)","-","-","-","-","-","-","-","-","-","-","-","-","DUF4230","GCF_000007625.1"
"20501736","1410653.JHVC01000045_gene2137",5.33e-260,722,"COG1502@1|root,COG1502@2|Bacteria,1TPKY@1239|Firmicutes,247UR@186801|Clostridia,36EA0@31979|Clostridiaceae","186801|Clostridia","I","Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol","cls","-","-","ko:K06131","ko00564,ko01100,map00564,map01100","-","R07390","RC00017","ko00000,ko00001,ko01000","-","-","-","PLDc_2,PLDc_N","GCF_000007625.1"
"20501737","1230342.CTM_15063",1.62e-199,564,"2DB7K@1|root,2Z7MK@2|Bacteria,1TQ79@1239|Firmicutes,2489P@186801|Clostridia,36E90@31979|Clostridiaceae","186801|Clostridia","S","Protein of unknown function (DUF1576)","-","-","-","-","-","-","-","-","-","-","-","-","DUF1576","GCF_000007625.1"
"20501738","1230342.CTM_04610",6.53e-40,139,"2DJ6V@1|root,304WB@2|Bacteria,1TXAV@1239|Firmicutes,24RDS@186801|Clostridia,36MWC@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501739","1410653.JHVC01000045_gene2136",2.38e-82,248,"COG1573@1|root,COG1573@2|Bacteria,1V4M9@1239|Firmicutes,24C6M@186801|Clostridia,36E51@31979|Clostridiaceae","186801|Clostridia","L","uracil-DNA glycosylase","-","-","3.2.2.27","ko:K21929","ko03410,map03410","-","-","-","ko00000,ko00001,ko01000,ko03400","-","-","-","UDG","GCF_000007625.1"
"20501740","1410653.JHVC01000044_gene2128",3.83e-22,86.3,"28V66@1|root,2ZH9D@2|Bacteria,1W3I3@1239|Firmicutes,24V1R@186801|Clostridia,36PAE@31979|Clostridiaceae","186801|Clostridia","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","GCF_000007625.1"
"20501741","1410653.JHVC01000030_gene2876",9.72e-33,115,"2DRM3@1|root,33C8V@2|Bacteria,1VKUE@1239|Firmicutes,24RNH@186801|Clostridia,36MY1@31979|Clostridiaceae","186801|Clostridia","S","Sigma-K factor processing regulatory protein bofa","bofA","-","-","ko:K06317","-","-","-","-","ko00000","-","-","-","BofA","GCF_000007625.1"
"20501742","1487921.DP68_13875",2.3e-116,338,"COG1489@1|root,COG1489@2|Bacteria,1VTYF@1239|Firmicutes,25E56@186801|Clostridia,36UIN@31979|Clostridiaceae","186801|Clostridia","S","Belongs to the SfsA family","sfsA","-","-","ko:K06206","-","-","-","-","ko00000","-","-","-","SfsA","GCF_000007625.1"
"20501743","1230342.CTM_16076",8.01e-250,691,"COG1171@1|root,COG1171@2|Bacteria,1TR70@1239|Firmicutes,2485T@186801|Clostridia,36DJQ@31979|Clostridiaceae","186801|Clostridia","E","Diaminopropionate ammonia-lyase","dpaL","-","4.3.1.15","ko:K01751","-","-","-","-","ko00000,ko01000","-","-","-","PALP","GCF_000007625.1"
